,date,title,feed_type,link,news,Predicted Sentiment,Sentiment Probability
266,2019-05-07,"Zee Entertainment, BPCL, Tata Motors, Reliance Industries and ICICI Bank were among the top losers.",news-article,https://www.businesstoday.in/markets/stocks/markets-live-sensex-nifty-may-7-2019-yes-bank-tata-motors-airtel-icici-bank/story/343940.html,"Zee Entertainment, BPCL, Tata Motors, Reliance Industries and ICICI Bank were among the top losers.",negative,0.753751
267,2019-05-08,"Volume Shockers: Zee Entertainment, Dhanlaxmi Bank, Emami, Nestle tops the chart | Reliance Industries hits over six-week low | D-St Buzz: Over 150 stocks hit new 52-week low on NSE; RIL, Zee Ent fall 2-5% each",news-article | news-article | news-article,https://www.moneycontrol.com/news/business/markets/volume-shockers-zee-entertainment-dhanlaxmi-bank-emami-nestle-top-the-charts-3947821.html | https://www.thehindubusinessline.com/companies/reliance-industries-hits-over-six-week-low/article27065289.ece | https://www.moneycontrol.com/news/business/markets/d-st-buzz-over-150-stocks-hit-new-52-week-low-on-nse-ril-zee-ent-fall-2-5-each-3946681.html,"The fall in Sensex was led by losses in Reliance Industries, HDFC Bank, HDFC, ITC, Infosys, and ICICI Bank. | Shares of Reliance Industries Limited fell as much as 1.89 per cent to Rs 1,318.10, the lowest since March 25.The stocks of Reliance were among top per cent losers on indexes in early trading.It broke | The top Nifty gainers include UPL, JSW Steel, BPCL, Indian Oil Corporation and Power Grid while BPCL, Zee Entertainment, Vedanta, Reliance Industries, Bajaj Finserv and Dr Reddy's Labs are the top losers.",negative,0.97052246
268,2019-05-09,"TCS overtakes RIL to become most valued company again | Reliance Foundation lends hand for relief work in cyclone-hit states | Morgan Stanley downgrades Reliance Industries, sees pressure on earnings",news-article | news-article | news-article,https://www.thehindubusinessline.com/markets/stock-markets/tcs-overtakes-ril-to-become-most-valued-company-again/article27081273.ece | https://economictimes.indiatimes.com/news/politics-and-nation/reliance-foundation-lends-hand-for-relief-work-in-cyclone-hit-states/articleshow/69248650.cms | https://www.thehindubusinessline.com/companies/morgan-stanley-downgrades-reliance-industries-sees-pressure-on-earnings/article27077230.ece,"Software services major Tata Consultancy Services on Thursday reclaimed the status of the country’s most valued firm by market valuation, surpassing Reliance Industries Ltd (RIL). RIL shares have been | Reliance Foundation (RF) is the philanthropic arm of industrialist Mukesh Ambani-led Reliance Industries, and his wife Nita Ambani is its founder and chairperson. | Brokerage Morgan Stanley has downgraded the rating of Reliance Industries to “equal-weight” from “over-weight”. It has said that the Mumbai-based group’s earnings growth could halve in fiscal 2020.The",negative,0.9568325
269,2019-05-10,Morgan Stanley downgrades Reliance Industries to equal-weight,news-article,https://economictimes.indiatimes.com/markets/stocks/news/morgan-stanley-downgrades-reliance-industries-to-equal-weight/articleshow/69261719.cms,"Morgan Stanley has revised RILs target price to Rs 1,349 from Rs 1,230 as it has rolled forward estimates.",positive,0.890357
270,2019-05-11,"Gone in 5 days: RIL loses Rs 1 lakh crore in mcap, ‘most valuable’ tag",news-article,https://economictimes.indiatimes.com/markets/stocks/news/gone-in-5-days-ril-loses-rs-1-lakh-crore-in-mcap-most-valuable-tag/articleshow/69277646.cms,Technical analysts believe that the medium-term trend for Reliance Industries remains positive.,positive,0.95383275
271,2019-05-12,Nine of top-10 cos lose whopping Rs 1.60 lakh cr in M-cap; RIL worst hit | Nine Of Top 10 Firms Lose Rs 1.60 Lakh Crore In Market Cap,news-article | news-article,https://www.thehindubusinessline.com/markets/stock-markets/nine-of-top-10-cos-lose-whopping-rs-160-lakh-cr-in-m-cap-ril-worst-hit/article27108176.ece | https://www.bloombergquint.com/markets/nine-of-top-10-cos-lose-whopping-rs-1-60-lakh-cr-in-m-cap-ril-worst-hit,"Nine of the 10 most valued Indian companies suffered a combined erosion of Rs 1.60 lakh crore in market valuation last week, with Reliance Industries Ltd (RIL) taking the biggest knock.Tata Consultanc | Reliance Industries lost its status as the country’s most-valued firm to TCS.",negative,0.9673118
272,2019-05-13,Reliance Industries moves registered offices of five subsidiaries to Gujarat,news-article,https://www.livemint.com/industry/telecom/reliance-industries-moves-registered-offices-of-five-subsidiaries-to-gujarat-1557722515066.html,"Reliance Industries has roots in Gujarat, with even some other companies headquartered there earlier.Gujarat is where RIL began its journey from and we thought we should give something back to the state, said a senior official",neutral,0.8928386
273,2019-05-14,"After Market: Airtel, HDFC rally, Jet crashlands; 333 stocks hit 52-week lows",news-article,https://economictimes.indiatimes.com/markets/stocks/news/after-market-airtel-hdfc-rally-jet-crashlands-333-stocks-hit-52-week-lows/articleshow/69326881.cms,"Reliance Industries, ICICI Bank, HDFC and ITC were the top contributors to the rise in Sensex.",positive,0.66090155
274,2019-05-21,"Reliance Industries was also the most profitable company in the country with a net profit of more than double that of IOC in FY2019. | D-St Buzz: Pharma stocks gain led by Dr Reddy's Labs, RIL gains, Tata Motors falls 4% | The BSE Sensex gained 207 points to hit an all-time high of 39,560, breaching its previous record of 39,487 hit on April 18 this year, helped by gains in index heavyweights such as HDFC, Bajaj Finance, Hindustan Unilever Ltd, Reliance Industries and Vedanta",news-article | news-article | news-article,https://www.businesstoday.in/current/corporate/reliance-industries-overtakes-ioc-mukesh-ambani-conglomerate-biggest-indian-company-revenue/story/348670.html | https://www.moneycontrol.com/news/business/markets/d-st-buzz-pharma-stocks-gain-led-by-dr-reddys-labs-ril-gains-tata-motors-falls-4-3998581.html | https://www.businesstoday.in/markets/company-stock/terrific-tuesday-for-markets-sensex-hits-all-time-high-nifty-crosses-11900/story/348518.html,"Reliance Industries was also the most profitable company in the country with a net profit of more than double that of IOC in FY2019. | The top Nifty gainers included Bharti Infratel which jumped 3 percent followed by Dr Reddy's Labs, Reliance Industries, Britannia Industries and HDFC while the top losers are BPCL, Tata Motors, IOC, Adani Ports and IndusInd Bank. | The BSE Sensex gained 207 points to hit an all-time high of 39,560, breaching its previous record of 39,487 hit on April 18 this year, helped by gains in index heavyweights such as HDFC, Bajaj Finance, Hindustan Unilever Ltd, Reliance Industries and Vedanta",positive,0.9326241
275,2019-05-29,Mirae Asset Hybrid Equity Fund: A diversified and consistent outperformer,news-article,https://www.business-standard.com/article/markets/mirae-asset-hybrid-equity-fund-a-diversified-and-consistent-outperformer-119052900018_1.html,"HDFC Bank, Reliance Industries, ICICI Bank, Hindustan Petroleum, and Maruti Suzuki were the biggest contributors to the fund's performance in the past 3 years",positive,0.5418595
276,2019-06-02,Reliance Industries resumes lobbying in US; ropes in new lobbyist,news-article,https://economictimes.indiatimes.com/news/company/corporate-trends/reliance-industries-resumes-lobbying-in-us-ropes-in-new-lobbyist/articleshow/69623831.cms,Billionaire Mukesh Ambani-led Reliance Industries Ltd (RIL) had earlier terminated its lobbying activity in US in January 2013.,negative,0.6966533
277,2019-06-03,Three reasons why Sensex zoomed over 500 points on Monday,news-article,https://www.business-standard.com/article/markets/three-reasons-why-sensex-zoomed-over-500-pts-in-intra-day-trade-on-monday-119060300748_1.html,"Among stocks, HDFC twins, Reliance Industries (RIL), TCS, Infosys and Hindustan Unilever (HUL) emerged as the biggest contributors to the index's gains",positive,0.5145417
278,2019-06-04,"Planned base price of India's 5G spectrum too high, says telecom lobby",news-article,https://economictimes.indiatimes.com/industry/telecom/telecom-news/planned-base-price-of-indias-5g-spectrum-too-high-says-telecom-lobby/articleshow/69651660.cms,"India's largest telecommunications companies, including Vodafone Idea, Bharti Airtel Ltd and Reliance Industries Ltd's Jio - all members of COAI - are expected to participate in the auction.",neutral,0.9227823
279,2019-06-05,RIL’s R|Elan ‘Fashion For Earth’ celebrates World Environment Day with EarthTee2,news-article,https://zeenews.india.com/companies/ril-s-relan-fashion-for-earth-celebrates-world-environment-day-with-earthtee2-2209359.html,"Reliance Industries, the owner of brand R|Elan, is one of the largest recycler of PET bottles in India, recycling 2.2 billion PET bottles a year.",neutral,0.8625516
280,2019-06-07,"D-Street Buzz: Over 100 stocks hit new 52-week low on BSE; Dr Reddy's Labs down 2%, RIL drags",news-article,https://www.moneycontrol.com/news/business/markets/d-street-buzz-over-100-stocks-hit-new-52-week-low-on-bse-dr-reddys-labs-down-2-ril-drags-4072361.html,"The top gainers from the NSE include Bharti Infratel, Indiabulls Housing Finance, Bharti Airtel, Vedanta and IndusInd Bank while the top losers are Dr Reddy's Labs, Cipla, Coal India, Reliance Industries and Adani Ports.",neutral,0.8387164
281,2019-06-10,TCS surpasses Reliance Industries to become most valued firm by m-cap,news-article,https://www.business-standard.com/article/pti-stories/tcs-overtakes-ril-to-become-most-valued-firm-by-m-cap-119061000802_1.html,RIL and TCS have in the past also competed with each other for the number one position in terms of market capitalisation,positive,0.89820635
282,2019-06-11,"RIL, BP to go ahead with 3rd phase of KG-D6 block | In another similar feat, Tata Consultancy Services surpassed Reliance Industries to become the most valued firm by market capitalisation in the Indian stock market.",news-article | news-article,https://www.thehindubusinessline.com/companies/ril-bp-to-go-ahead-with-3rd-phase-of-kg-d6-block/article27819659.ece | https://www.businesstoday.in/markets/company-stock/tcs-beat-reliance-industries-ibm-in-market-capitalisation-race/story/355106.html,"Reliance Industries Ltd (RIL) and BP on Tuesday announced the sanction for the MJ project (also known as D55) in Block KG D6 on the east coast. MJ is the third of three new projects in the Block KG | In another similar feat, Tata Consultancy Services surpassed Reliance Industries to become the most valued firm by market capitalisation in the Indian stock market.",positive,0.90364987
283,2019-06-12,"Gujarat ports brace for Cyclone Vayu, prepare to evacuate employees",news-article,https://www.business-standard.com/article/current-affairs/gujarat-ports-brace-for-cyclone-vayu-prepare-to-evacuate-employees-119061201110_1.html,"Private ports and jetties, like that of Adani Group and Reliance Industries Ltd (RIL), have either suspended or scaled down work.",negative,0.9409547
284,2019-06-13,"RIL, HDFC among 57 Indian companies on Forbes Global 2,000 list | Reliance Industries to not extend guarantee on Jio debt transfer to InvITs",news-article | news-article,https://www.livemint.com/companies/news/ril-hdfc-among-57-indian-companies-on-forbes-global-2-000-list-1560428935348.html | https://www.business-standard.com/article/companies/reliance-industries-to-not-extend-guarantee-on-jio-debt-transfer-to-invits-119061201445_1.html,"The overall list has been topped by the China’s ICBC for the 7th year in a row, while Reliance Industries is the top-ranked Indian firm (71st rank globally).For the consumer financial sector, American Express has topped the chart while HDFC Ltd is ranked 7th | RIL to issue 'letter of comfort' to lenders on $15.4-bn debt",positive,0.76210445
285,2019-06-14,Deleveraging cycle at Reliance Industries likely to ease investor concerns,news-article,https://economictimes.indiatimes.com/markets/stocks/news/deleveraging-cycle-at-reliance-industries-likely-to-ease-investor-concerns/articleshow/69781189.cms,The proposed transfers will benefit Reliance Jio in two ways.,positive,0.84586257
286,2019-06-16,"Six of top-10 firms add ₹ 34,250 cr in m-cap; TCS leads",news-article,https://www.thehindubusinessline.com/markets/stock-markets/six-of-top-10-firms-add-34250-cr-in-m-cap-tcs-leads/article27955190.ece,"Six of the 10 most valued Indian companies together added ₹ 34,250.18 crore in market valuation last week, with TCS accounting for the lion’s share of the gains.Reliance Industries Limited (RIL), ITC,",positive,0.5210575
287,2019-06-17,"Nifty slips below 11,800 mark; Shriram Transport Finance, RInfra drops",news-article,https://www.indiainfoline.com/article/news-top-story/nifty-slips-below-11-800-mark-shriram-transport-finance-rinfra-drops-119061700009_1.html,"Reliance Industries, Axis Bank, IndusInd Bank, SBI and Kotak Mahindra Bank were the top contributors to the index losses, while Infosys, Airtel, TCS and Asian Paints gained on the Sensex.",negative,0.9391169
288,2019-06-21,"Sensex slips over 100 points; Tata Motors, Maruti under pressure",news-article,https://www.indiainfoline.com/article/news-top-story/sensex-slips-over-100-points-tata-motors-maruti-under-pressure-119062100291_1.html,"Reliance Industries, HDFC twins, ITC, Maruti and Infosys were the top contributors to the index losses, while L&T, SBI, and Yes Bank gained on the Sensex.",negative,0.94827974
289,2019-06-24,"Nifty above 11,700 mark; L&T, IndusInd Bank stocks lead",news-article,https://www.indiainfoline.com/article/news-top-story/nifty-above-11-700-mark-l-t-indusind-bank-stocks-lead-119062400018_1.html,"HDFC twins, L&T, ITC, and TCS were the top contributors to the index gain, while Reliance Industries, Bajaj Auto and Hero MotoCorp were among the losers on the Sensex.",neutral,0.42817083
290,2019-06-25,Indian shares snap two-day losing streak; Reliance Industries top...,news-article,https://in.reuters.com/article/india-stocks/indian-shares-snap-two-day-losing-streak-reliance-industries-top-boost-idINKCN1TQ0HG?feedType=RSS&feedName=businessNews&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+reuters%2FINbusinessNews+%28News+%2F+IN+%2F+Business+News%29,"Indian shares snapped two-day losing streak to close higher on Tuesday, led by i...",positive,0.91014004
291,2019-06-26,Reliance raises $1.85 billion long-term loan to infuse into Jio,news-article,https://www.aninews.in/news/business/reliance-raises-185-billion-long-term-loan-to-infuse-into-jio20190626111938/,"Mumbai (Maharashtra) [India], June 26 (ANI): Mukesh Ambani-led Reliance Industries has signed pacts with overseas lenders to avail long-term loans of 1.85 billion dollars (about Rs 12,850 crore) to finance its capital expenditure for the telecom arm.",positive,0.9433092
292,2019-06-28,Mukesh Ambani shows interest to invest in Himachal  Pradesh,news-article,https://www.aninews.in/news/business/mukesh-ambani-shows-interest-to-invest-in-himachal-pradesh20190628170556/,"Mumbai (Maharashtra) [India], June 28 (ANI): Himachal Pradesh Chief Minister Jai Ram Thakur met Chairman of Reliance Industries Mukesh Ambani as part of an outreach activity for attracting investments to the state.",positive,0.82089436
293,2019-07-09,"Shares of Reliance Industries settled at Rs 1,279.45, up 2.20% on the BSE. Intra-day, it rose 2.55% to Rs 1,283.85. | D-Street Buzz: Pharma stocks rally led by Sun Pharma; TCS slips 2%, Titan tanks | Reliance Industries, IOC to gain from Budget move on PVC, naphtha",news-article | news-article | news-article,https://www.firstpost.com/business/reliance-industries-races-past-tata-consultancy-services-to-become-most-valued-firm-by-m-cap-shares-up-2-20-6964141.html | https://www.moneycontrol.com/news/business/markets/d-street-buzz-pharma-stocks-rally-led-by-sun-pharma-tcs-slips-2-titan-tanks-4184621.html | https://www.business-standard.com/article/companies/reliance-industries-ioc-to-gain-from-budget-move-on-pvc-naphtha-119070900032_1.html,"Shares of Reliance Industries settled at Rs 1,279.45, up 2.20% on the BSE. Intra-day, it rose 2.55% to Rs 1,283.85. | The top gainers from NSE include Bajaj Finance which jumped 5 percent followed by Sun Pharma, IOC, Bajaj Finserv and Reliance Industries while the top losers are Titan Company which tanked 12 percent followed by UPL, Asian Paints, TCS and HDFC. | Analysts with Prabhudas Lilladher expect the hike in PVC customs duty to help improve RIL's earnings",positive,0.94975966
294,2019-07-11,"Sensex rallies over 200 points led by HDFC twins, ITC, Reliance Industries",news-article,https://www.indiainfoline.com/article/news-top-story/sensex-rallies-over-200-points-led-by-hdfc-twins-itc-reliance-industries-119071100452_1.html,The stock market rebounded amid positive cues from Asian and US equities that got a boost after the US Fed chair's congressional testimony.,positive,0.9483091
295,2019-07-13,Italian men's cosmetics brand Womo partners with Reliance's arm to enter India,news-article,https://www.aninews.in/news/business/italian-mens-cosmetics-brand-womo-partners-with-reliances-arm-to-enter-india20190713132522/,"Mumbai (Maharashtra) [India], July 13 (ANI): Reliance Brands, a subsidiary of Mukesh Ambani-led Reliance Industries, has partnered with Italian firm Percassi to launch men's cosmetics brand Womo in India.",positive,0.8917386
296,2019-07-14,"9 out of top 10 firms lose Rs 88,609 crore in m-cap",news-article,https://economictimes.indiatimes.com/markets/stocks/news/9-out-of-top-10-firms-lose-rs-88609-crore-in-m-cap/articleshow/70214051.cms,Reliance Industries was the lone gainer among the top-10 frontline companies.,positive,0.7494314
297,2019-07-16,Sensex rises 234 pts; Yes Bank soars 11 per cent,news-article,https://www.freepressjournal.in/business/sensex-rises-234-pts-yes-bank-soars-11-per-cent,"Market benchmark BSE Sensex rose by 234 points to close at 39,131.04 on Tuesday, extending gains for the second straight day as Reliance Industries, Yes Bank, Larsen & Toubro and Infosys advanced",positive,0.94409287
298,2019-07-17,Reliance to launch iconic jewelry brand Tiffany & Co in India,news-article,https://economictimes.indiatimes.com/industry/cons-products/fashion-/-cosmetics-/-jewellery/reliance-to-launch-iconic-jewelry-brand-tiffany-co-in-india/articleshow/70254628.cms,"A subsidiary of Reliance Industries, Reliance Brands sells luxury labels such as Ermenegildo Zegna, Brooks Brothers and Bally in India.",neutral,0.92865247
299,2019-07-18,Reliance Industries Q1FY20E Result Expectation | Reliance Industries completes acquisition of Hamleys Global for £67.96mn,news-article | news-article,https://www.indiainfoline.com/article/news-top-story/reliance-industries-q1fy20e-result-expectation-119071800508_1.html | https://www.indiainfoline.com/article/news-top-story/reliance-industries-completes-acquisition-of-hamleys-global-for-67-96mn-119071800426_1.html,EBITDA margins are expected to decline by 249bps yoy to 16% impacted by lower refining/Petchem margins and lower profitability for Jio due to transfer of fiber and tower assets to SPV. | The company's subsidiary Reliance Brands completed the acquisition of 100% stake of Hamleys Global Holdings Ltd through a special purpose vehicle company set up in the United Kingdom for cash consideration of £ 67.96 mn.,negative,0.93315864
300,2019-07-19,Reliance Industries reports 6.8 pc rise in net profits in first quarter of FY '19-20 | 5 things to watch out for in Reliance Industries Q1 earnings | What to expect from Reliance Jio’s Q1 earnings,news-article | news-article | news-article,https://www.aninews.in/news/business/reliance-industries-reports-68-pc-rise-in-net-profits-in-first-quarter-of-fy-19-2020190719193450/ | https://www.livemint.com/companies/company-results/5-things-to-watch-out-for-in-reliance-industries-q1-earnings-1563511935013.html | https://www.livemint.com/companies/news/what-to-expect-from-reliance-jio-s-q1-earnings-1563504080451.html,"Mumbai (Maharashtra) [India], July 19 (ANI): Reliance Industries Limited (RIL) on Friday reported a 6.8 per cent rise in its net profit in the first quarter of the financial year 2019-20. | For its e-commerce venture, RIL plans to sign on local merchants, boosting their sales through O2O marketplace.RIL is expected to roll-out its fiber-to-the-home (FTTH) service this year | Reliance Industries will announce its financial results for April-June quarter today.Reliance Jio had posted a profit of  ₹8.4 billion for the March quarter",positive,0.94610107
301,2019-07-20,"Reliance Industries reports 6.8% rise in profit | Reliance Industries Q1 net rises as telecom, retail offset refining hit",news-article | news-article,https://www.freepressjournal.in/business/reliance-industries-reports-68-rise-in-profit | https://www.livemint.com/companies/company-results/reliance-industries-net-rises-as-telecom-retail-offset-refining-hit-1563558641510.html,"RIL's net profit for the first quarter of the current financial year stood at Rs 10,104 crore, up from Rs 9,459 crore in the corresponding period last year, the company said in a statement to the stock exchanges. | RIL’s performance in the refining and marketing segment was affected by lower product realization y-o-y.Revenue from the refining and marketing segment was also up 6.4% during the quarter, while the segment’s operating profit declined 15.2%",negative,0.9410663
302,2019-07-21,"Reliance mobile operator Jio to focus on subscriber numbers not... | Six of top-10 firms lose ₹62,147.7 cr in m-cap",news-article | news-article,https://in.reuters.com/article/reliance-telecoms/reliance-mobile-operator-jio-to-focus-on-subscriber-numbers-not-tariffs-idINKCN1UG0H3?feedType=RSS&feedName=businessNews&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+reuters%2FINbusinessNews+%28News+%2F+IN+%2F+Business+News%29 | https://www.thehindubusinessline.com/markets/stock-markets/six-of-top-10-firms-lose-621477-cr-in-m-cap/article28625725.ece,India's Reliance Industries plans to remain focused on subscriber additions... | Reliance Industries and TCS take the biggest hit,neutral,0.5857406
303,2019-07-22,"Reliance Industries gains after profit rises ~7% in Q1 | Reliance Industries faces headwinds from US-China rift, exports down 4.5%",news-article | news-article,https://www.indiainfoline.com/article/news-top-story/reliance-industries-gains-after-profit-rises-7-in-q1-119072200069_1.html | https://www.business-standard.com/article/companies/reliance-industries-faces-headwinds-from-us-china-rift-exports-down-4-5-119072100745_1.html,"The consolidated revenue grew by 21.9% yoy and 13.2% qoq to Rs1,56,976cr against median consensus estimates of Rs1,47,335cr. | The company added the impact was on products like high-density polyethylene (HDPE) and linear low-density polyethylene (LLDPE)",negative,0.8480939
304,2019-07-23,Reliance Industries talks on stake sale to Saudi Aramco stall: sources,news-article,https://in.reuters.com/article/saudi-aramco-india-reliance/reliance-industries-talks-on-stake-sale-to-saudi-aramco-stall-sources-idINKCN1UI194?feedType=RSS&feedName=businessNews&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+reuters%2FINbusinessNews+%28News+%2F+IN+%2F+Business+News%29,The Reliance Industries talks to grant a minority stake in its refining assets t...,positive,0.63552815
305,2019-07-25,Tata Consultancy Services on Thursday went past Reliance Industries Limited to become the country's most valued firm by market valuation yet again,news-article,https://www.firstpost.com/business/tcs-overtakes-reliance-industries-to-become-countrys-most-valued-firm-by-market-valuation-7057571.html,Tata Consultancy Services on Thursday went past Reliance Industries Limited to become the country's most valued firm by market valuation yet again,positive,0.8344346
306,2019-07-26,Jio emerges as India's biggest telecom player; Voda Idea user base dips to 320 million,news-article,https://economictimes.indiatimes.com/industry/telecom/telecom-news/jio-emerges-as-indias-biggest-telecom-player-voda-idea-user-base-dips-to-320-million/articleshow/70400415.cms,"According to the financial results reported by Reliance Industries last week, its subsidiary Reliance Jio had a user base of 331.3 million by June 2019.",neutral,0.9071908
307,2019-07-27,"Private refiners Reliance Industries and Nayara Energy, part owned by Russian oil major Rosneft, are the only Indian buyers of Venezuelan oil. | According to the financial results reported by Reliance Industries last week, its subsidiary Reliance Jio had a user base of 331.3 million by June 2019.",news-article | news-article,https://www.businesstoday.in/current/economy-politics/india-venezuelan-oil-imports-june-highest-seven-quarters/story/368236.html | https://www.businesstoday.in/current/economy-politics/reliance-jio-becomes-largest-telecom-operator-india-within-3-years-starting-business/story/368241.html,"Private refiners Reliance Industries and Nayara Energy, part owned by Russian oil major Rosneft, are the only Indian buyers of Venezuelan oil. | According to the financial results reported by Reliance Industries last week, its subsidiary Reliance Jio had a user base of 331.3 million by June 2019.",neutral,0.91226584
308,2019-07-29,"Mukesh Ambani, IOC's Sanjiv Singh in list of world's top CEOs | Reliance Jio GigaFiber: Expected launch date, data plans, services and more",news-article | news-article,https://www.livemint.com/companies/people/ambani-ioc-s-sanjiv-singh-ongc-s-shashi-shanker-in-list-of-world-s-top-ceos-1564409121712.html | https://www.business-standard.com/article/technology/reliance-jio-gigafiber-expected-launch-date-data-plans-services-and-more-119072900109_1.html,"ArcelorMittal Chairman and CEO Lakshmi Mittal is the highest-ranked Indian CEO but the ranking lists his company as a Luxembourg-based firm.Reliance Industries Chairman and Managing Director Ambani was ranked 49th on the list, IOC's Singh was ranked 69th | Announced last year at the Reliance Industries annual general meeting, the Jio GigaFiber was initially touted to launch in 1,100 cities simultaneously",neutral,0.9202372
309,2019-08-01,Amazon in talks to buy stake in India's Reliance Retail: ET | Amazon in talks to buy stake in India's Reliance Retail - ET,news-article | news-article,https://in.reuters.com/article/us-reliance-retail-amazon-com-stake/amazon-in-early-talks-to-buy-stake-in-indias-reliance-retail-et-idINKCN1UR376 | https://in.reuters.com/article/amazon-reliance/amazon-in-talks-to-buy-stake-in-indias-reliance-retail-et-idINKCN1UR37A?feedType=RSS&feedName=businessNews&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+reuters%2FINbusinessNews+%28News+%2F+IN+%2F+Business+News%29,Amazon.com Inc is in exploratory talks with Reliance Industries Ltd-owned Relian... | Amazon.com Inc is in exploratory talks with Reliance Industries Ltd-owned Relian...,neutral,0.94186926
310,2019-08-03,Reliance to buy 87.6% stake in Fynd - co statement,news-article,https://in.reuters.com/article/india-reliance-fynd/reliance-to-buy-87-6-stake-in-fynd-co-statement-idINKCN1UT0D1?feedType=RSS&feedName=businessNews&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+reuters%2FINbusinessNews+%28News+%2F+IN+%2F+Business+News%29,Indian energy and telecoms conglomerate Reliance Industries Ltd will acquire an ...,neutral,0.89261675
311,2019-08-04,Reliance Industries to acquire stake in Shopsense Retail for  ₹295 crore,news-article,https://www.livemint.com/companies/news/reliance-industries-to-acquire-stake-in-shopsense-retail-for-rs-295-crore-1564932859985.html,Reliance Industrial Investments and Holdings has an option to further invest an amount of up to  ₹100 crore in Shopsense.The total investment will translate into 87.6% of equity share capital in Shopsense on a fully diluted and converted basis,neutral,0.8824052
312,2019-08-05,Fall in June quarter revenue reflective of economic slide | Reliance to buy Google-backed tech start-up Shopsense Retail | Reliance Industries share price fell up to 4.63% to 1129 level compared to the previous close of 1184.20 on BSE. Reliance Industries share price has fallen after two days of consecutive gain. ,news-article | news-article | news-article,https://www.moneycontrol.com/news/business/economy/fall-in-june-quarter-revenue-reflective-of-economic-slide-4292411.html | https://www.thehindubusinessline.com/info-tech/reliance-to-buy-google-backed-tech-start-up-shopsense-retail/article28821784.ece | https://www.businesstoday.in/markets/company-stock/reliance-industries-share-price-falls-credit-suisse-downgrade/story/370571.html,"Ten out of these – Bajaj Auto, Hero MotoCorp, Hindustan Unilever, Infosys, Maruti Suzuki, Reliance Industries, TCS, Tata Motors, Vedanta and Yes Bank reported a decline in revenue growth | Reliance Industries agreed to buy a stake Shopsense Retail Technologies Pvt, technology start-up funded by Google, scooping up an inventory-management platform and adding to the list of smaller deals | Reliance Industries share price fell up to 4.63% to 1129 level compared to the previous close of 1184.20 on BSE. Reliance Industries share price has fallen after two days of consecutive gain. ",negative,0.97413
313,2019-08-06,"Reliance, BP to create major world-class fuels partnership for India's fast-growing market",news-article,https://www.aninews.in/news/business/reliance-bp-to-create-major-world-class-fuels-partnership-for-indias-fast-growing-market20190806182006/,"Mumbai (Maharashtra) [India], Aug 6 (ANI): BP and Reliance Industries Limited (RIL) on Tuesday announced that they have agreed to form a new joint venture that will include a retail service station network and aviation fuels business across India.",positive,0.85816556
314,2019-08-07,Reliance Industries and BP expand partnership to sell transport fuels in India,news-article,https://www.indiainfoline.com/article/news-top-story/reliance-industries-and-bp-expand-partnership-to-sell-transport-fuels-in-india-119080700421_1.html,"This is a further development of RIL and BP’s longstanding partnership, which began in 2011 and expanded in 2017 including an agreement to seek options to work together to develop differentiated fuels and mobility businesses.",positive,0.88378453
315,2019-08-08,Iconic American jeweller Tiffany & Co said it will enter the Indian market in partnership with billionaire Mukesh Ambani's Reliance Industries and plans to open its first store in Delhi this year and one in Mumbai next year | Tiffany partners with Mukesh Ambani's RIL to open stores in India,news-article | news-article,https://www.firstpost.com/business/american-jeweller-tiffany-will-open-stores-in-delhi-mumbai-in-partnership-with-reliance-industries-7132271.html | https://www.livemint.com/companies/news/tiffany-partners-with-mukesh-ambani-s-ril-to-open-stores-in-india-1565245852280.html,"Iconic American jeweller Tiffany & Co said it will enter the Indian market in partnership with billionaire Mukesh Ambani's Reliance Industries and plans to open its first store in Delhi this year and one in Mumbai next year | Tiffany may also benefit from Ambani’s ambitions to set up an e-commerce platform in India to rival Amazon.In May, Reliance Industries agreed to purchase British toy-store chain Hamleys",positive,0.8083928
316,2019-08-09,Mukesh Ambani's Reliance Group could set up a global logistics hub in MP,news-article,https://www.livemint.com/companies/people/mukesh-ambani-s-reliance-group-could-set-up-a-global-logistics-hub-in-mp-1565329264857.html,Madhya Pradesh CM invited Ambani to invest in new technologies in the state.Chief Minister Kamal Nath and Reliance Industries Ltd (RIL) Chairman Mukesh Ambani met in Mumbai on Wednesday,neutral,0.70576286
317,2019-09-04,"D-Street Buzz: Nifty Pharma underperforms dragged by Sun Pharma; Tata Motors falls, banks gain",news-article,https://www.moneycontrol.com/news/business/markets/d-street-buzz-nifty-pharma-underperforms-dragged-by-sun-pharma-tata-motors-falls-banks-gain-4401541.html,"The most active stocks are Reliance Industries, Maruti, Sun Pharma, YES Bank and IndusInd Bank.",neutral,0.928672
