date,news,Predicted Sentiment,Sentiment Probability,aspect_labelling
2020-10-12,"Hospital operations seeing gradual recovery, APHS continues to see recovery in occupancy level at its hospitals each successive month from the lows of April/May, when lockdown was imposed in India. | A total of 50 stocks hit 52-week highs on the BSE. These included Ambuja Cements, Apollo Hospitals, Coforge, GTPL Hathway, Hero MotoCorp, Aditya Birla Money and Greenpanel Industries, among others. | After the deal, Manipal Hospitals is expected to become India’s second largest hospital chain after Apollo Hospitals. | A 70-90 times earnings is just not sustainable as for that, the company will have to continuously grow at 50-60% for the next 10 years, says Sandip Sabharwal | ​​If the deal goes through, Columbia Asia will be rebranded Manipal Hospitals, which will likely become the second largest hospital chain in India with 26 hospitals and nearly 7,000 beds, behind Apollo Hospitals.",positive,0.87760633,"[[('stocks', 'stock_market', 'positive', 0.8331700563430786), ('Apollo Hospitals', 'companies', 'neutral', 0.9420419931411743)], [], [('Apollo Hospitals', 'companies', 'positive', 0.6754865646362305)], [('Apollo Hospitals', 'companies', 'neutral', 0.7892040014266968)], []]"
2020-10-15,"More than ten thousand Apollo employees are undergoing required training and will be stationed at Apollo centres to administer the vaccine. | Apollo Hospitals Group said it is prepared to administer 1 million Covid-19 vaccines daily. | Apollo Hospitals Group Executive Vice-Chairperson Shobana Kamineni said that the group will work with the government in tandem to ensure that maximum number of people gets the coronavirus vaccine safe and fast | The group will leverage its pan India web of 19 medicine supply hubs with cold chain facilities and use it’s 70 hospitals, over 400 clinics, 500 corporate health centers, 4,000 pharmacies alongside omni-channel digital platform Apollo 24|7 to ensure massive administration capacity of COVID-19 vaccin… | Apollo has built a cold storage chain to ensure safe reach of the vaccine | According to the hospital chain, its cold chain network can deliver the vaccine in less than 30 mins and in maximum 48 hours across the country | About 30 per cent of India is roughly 30 minutes away from an Apollo pharmacy, which can then guarantee safe and widespread reach of the vaccine, if required.",neutral,0.73563784,"[[], [], [('Apollo Hospitals', 'companies', 'neutral', 0.9284572005271912)], [], [], [], [('Apollo Hospitals', 'companies', 'neutral', 0.8728369474411011)]]"
2020-10-20,Clinics to offer post-recovery specialty care to those who have recovered from the pandemic,neutral,0.5355968,[[]]
2020-10-21,"Sudarshan Sukhani of s2analytics.com suggests buying Apollo Hospitals with a stop loss of Rs 2,190, target at Rs 2,245 and Godrej Properties with a stop loss of Rs 920, target at Rs 950.",neutral,0.8953665,"[[('Apollo Hospitals', 'companies', 'neutral', 0.8501788973808289)]]"
2020-10-29,"This will help take stroke management to the next level by standardising diagnosis and empowering clinicians to make faster, more accurate diagnoses and treatment decisions, said Apollo Hospitals | Apollo Hospitals Group on Thursday announced its partnership with India Medtronic, a wholly-owned subsidiary of medical technology company Medtronic Plc to integrate artificial intelligence (AI) for a",positive,0.85054904,"[[('Apollo Hospitals', 'companies', 'positive', 0.5209367275238037)], [('Apollo Hospitals', 'companies', 'neutral', 0.8201045393943787)]]"
2020-11-02,"Sudarshan Sukhani of s2analytics.com suggests buying Tata Consultancy Services with a stop loss of Rs 2,645, target at Rs 2,690 and Apollo Hospitals with a stop loss of Rs 2,090, target at Rs 2,160.",neutral,0.89363945,"[[('Apollo Hospitals', 'companies', 'neutral', 0.8003727793693542), ('Tata', 'companies', 'neutral', 0.8783056139945984)]]"
2020-11-11,"Apollo Hospitals Enterprise Ltd. (AHEL) is planning to raise up to ₹1,500 crore for acquisitions, inorganic growth and to reduce debt. The company plans to raise the funds either by way of preferentia | Revenues for the second quarter declined by 3 percent to Rs 2,760.7 crore as against Rs 2,840.7 crore in the year-ago period, Apollo Hospitals Enterprise said in a statement. | Apollo Hospitals Enterprise on Wednesday reported a 30 per cent decline in consolidated profit after tax (PAT) at Rs 60.3 crore for the quarter ended September.The healthcare major had posted a PAT of Rs 86.2 crore during the July-September period of the previous fiscal.Revenues for… | Apollo Hospitals (AHEL) on Wednesday posted a standalone net profit of ₹33 crore for the second quarter of the current fiscal, against a net profit of ₹91 crore for the same period last year. The heal | Standalone revenues of the healthcare services division decreased by 18% to Rs 1,062.6 crore in Q2FY21. | The S&P BSE MidCap index was trading 0.14 per cent up at 15565.32. | Apollo Hospitals, one of India’s pioneers in the organized healthcare segment, reported 2.82% lower sales revenues at Rs2,760.72cr | Arvind Ltd, Aurobindo Pharma Ltd, Apollo Hospitals Enterprise Ltd and Bajaj Holdings & Investment Ltd are among the other gainers in the BSEs A group today, 11 November 2020. | The Financial News section features stock market news in addition to stories about bonds, forex, commodities and economic releases.",negative,0.95848805,"[[], [('Apollo Hospitals', 'companies', 'neutral', 0.6688528060913086)], [('Apollo Hospitals', 'companies', 'neutral', 0.9484567642211914)], [('Apollo Hospitals', 'companies', 'neutral', 0.9451683163642883)], [('quarter', 'financial_performance', 'neutral', 0.9043442010879517), ('Apollo Hospitals', 'companies', 'negative', 0.5688764452934265)], [('quarter', 'financial_performance', 'negative', 0.5435570478439331), ('net profit', 'economic_indicators', 'neutral', 0.7119607925415039), ('Apollo Hospitals', 'companies', 'neutral', 0.8689733147621155)], [('quarter', 'financial_performance', 'negative', 0.974833071231842), ('Apollo Hospitals', 'companies', 'neutral', 0.49237173795700073)], [('index', 'stock_market', 'positive', 0.8372277021408081)], []]"
2020-11-12,"Suneeta Reddy, MD, Apollo Hospitals, says the pharmacy is seeing high growth and expansion in margins. Apollo Hospital will raise funds and Rs 1,500 crore fund-raising plan has been approved. | Linde India Ltd, Security & Intelligence Services India Ltd, State Bank of India and Shankara Building Products Ltd are among the other losers in the BSEs A group today, 12 November 2020. | Apollo Hospitals Enterprise fell 2.73% to Rs 2134.45 after the company reported 30.1% drop in consolidated net profit to Rs 60.27 crore on a 2.8% decline in net sales to Rs 2760.72 crore in Q2 FY21 over Q2 FY20. | Ashwani Gujral of ashwanigujral.com recommends buying Apollo Hospitals with a stop loss of Rs 2,170, target at Rs 2,300 and Laurus Labs with a stop loss of Rs 276, target at Rs 292. | AGHL runs a 750 bed multispeciality hospital at Kolkata and is currently a 50:50 JV between Apollo Hospitals and IHH. | Aurobindo Pharma, Brigade Enterprises, Ashoka Buildcon, Prestige Estates Projects, Shree Cement, Power Grid Corporation, Apollo Hospitals Enterprises, InterGlobe Aviation, are also among the stocks in focus today. | The company posted a profit of Rs60.3cr in Q2FY21, down by 30% from Rs86.2cr a year ago same period.",negative,0.9750196,"[[], [('Apollo Hospitals', 'companies', 'neutral', 0.9351001977920532)], [('Apollo Hospitals', 'companies', 'positive', 0.9528353214263916)], [('stocks', 'stock_market', 'neutral', 0.905805230140686), ('Apollo Hospitals', 'companies', 'neutral', 0.9502025842666626)], [('net profit', 'economic_indicators', 'negative', 0.9747688174247742), ('Apollo Hospitals', 'companies', 'negative', 0.9733763337135315)], [('Apollo Hospitals', 'companies', 'neutral', 0.8845307230949402)], []]"
2020-11-13,The S&P BSE MidCap index was trading 0.58 per cent up at 15831.87.,positive,0.8213869,"[[('index', 'stock_market', 'positive', 0.8453270196914673)]]"
2020-11-17,"ICICI Direct recommended hold rating on Apollo Hospitals with a target price of Rs 2310 in its research report dated November 13, 2020.",neutral,0.9121528,"[[('Apollo Hospitals', 'companies', 'neutral', 0.8969319462776184)]]"
2020-11-19,"The move comes close on the heels of the buyout of 50% equity stake held by IHH Healthcare (IHH), in Apollo Gleneagles Hospital, Kolkata (AGHL), a joint venture (JV) in which Apollo Hospitals group was holding a 50% equity stake, for a cash consideration of Rs 410 crore. | Apollo Hospitals on Thursday announced a collaboration with Tata Medical and Diagnostics (Tata MD), the wholly owned healthcare venture from the Tata Group, to introduce the world’s first CRISPR Cas-9 | There cannot be a better partner we can think of in the Indian context then Apollo Hospitals, Tata Medical and Diagnostics Ltd CEO Girish Krishnamurthy said in a webinar. | Tata to make one million kits a year initially at Chennai unit, Apollo to tap Delhi market in December | The hospital chain recently got its boards approval to raise up to Rs 1,500 crore and a portion of it will be used for acquisitions | Two high-risk patients were treated at Apollo Hospitals",positive,0.7410031,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9464535713195801), ('Tata', 'companies', 'neutral', 0.9229171276092529)], [], [('Apollo Hospitals', 'companies', 'positive', 0.7198553085327148), ('Tata', 'companies', 'positive', 0.7035793662071228)], [('stake', 'stock_market', 'neutral', 0.8763009309768677), ('equity', 'stock_market', 'neutral', 0.9054033160209656), ('Apollo Hospitals', 'companies', 'neutral', 0.94634610414505)], [('Tata', 'companies', 'neutral', 0.8161685466766357)], [('Apollo Hospitals', 'companies', 'neutral', 0.6308652758598328)]]"
2020-11-20,"Check out the stocks that will be in focus during trade today based on recent and latest news developments. | According to the Apollo Hospital, the cost of the test will be according to the price cap that has been put (for RT-PCR) in different states. | Following the development, the stock rose 4.37 per cent to hit a high of Rs 2,399 on BSE. | TataMD CHECK is a COVID-19 diagnostic test based on the DNA genome editing tool CRISPR Cas-9. The technology ensures quicker results due to a more agile process and AI-based automated result detection methodology",positive,0.50101095,"[[], [('stocks', 'stock_market', 'neutral', 0.933643639087677)], [], []]"
2020-11-25,"Apollo Hospitals are gearing up to give one million vaccines a day once it is available across India through its hospitals, clinics, health centres, pharmacies and Apollo 24|7",neutral,0.5490113,"[[('Apollo Hospitals', 'companies', 'neutral', 0.8013432621955872)]]"
2020-11-27,Previously he was the Chief Executive Officer — Southern Region of Apollo Hospitals Enterprise Ltd,neutral,0.9385486,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9486204385757446)]]"
2020-12-02,"The Financial News section features stock market news in addition to stories about bonds, forex, commodities and economic releases.",neutral,0.9399375,[[]]
2020-12-03,"The healthcare major said its board has approved the proposal to seek shareholders’ nod for raising up to Rs 1,500 crore by way of postal ballot. The board has also approved to constitute a Fund Raising Committee for this, Apollo Hospitals said in a BSE filing. | Apollo Hospitals Enterprise rose 1.79% to Rs 2,454.85 after the company said its board approved raising upto Rs 1,500 crore in one or more tranches.",positive,0.94915766,"[[('Apollo Hospitals', 'companies', 'positive', 0.9505363702774048)], [('shareholders', 'investor_sentiment', 'positive', 0.5725851655006409), ('shareholders', 'investor_sentiment', 'positive', 0.5725851655006409), ('Apollo Hospitals', 'companies', 'neutral', 0.9172110557556152)]]"
2020-12-04,"Uday Shankar will succeed Sangita Reddy, current president of FICCI, and joint MD, Apollo Hospitals Group during FICCIs 93rd AGM next week. With this, Shankar will become the first media and entertainment executive in India to lead a national industry chamber such as FICCI. | Shankar will be succeeding Sangita Reddy, President, FICCI, and Joint Managing Director, Apollo Hospitals Group during FICCI’s 93rd Annual General Meeting (AGM) scheduled to be held on December 11,12 and 14, 2020 | Shankar will succeed Sangita Reddy, president, FICCI, and joint managing director, Apollo Hospitals Group",neutral,0.9448273,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9464157223701477)], [('Apollo Hospitals', 'companies', 'neutral', 0.9385678768157959)], [('Apollo Hospitals', 'companies', 'neutral', 0.9314668774604797)]]"
2020-12-08,"Sudarshan Sukhani of s2analytics.com suggests buying Apollo Hospitals with a stop loss of Rs 2,401, target at Rs 2,508 and Berger Paints with a stop loss of Rs 657, target at Rs 703.",neutral,0.90034944,"[[('Apollo Hospitals', 'companies', 'neutral', 0.8573876619338989)]]"
2020-12-10,"CSIR-Centre for Cellular &amp; Molecular Biology (CCMB) and the Apollo Hospitals Enterprise Ltd have announced a collaboration for joint manufacturing and commercialisation of an innovative dry sw | In yet another endeavour to bring down the cost of COVID-19 testing, Hyderabad-based CSIR-Centre for Cellular Molecular Biology (CCMB) and the Apollo Hospitals Enterprise on Thursday (December 10) announced a collaboration for joint manufacturing and commercialization of an innovative dry swab tes | ​The rapid DArRT-PCR tests, which allows for rapid, safer and more cost-effective SARS-COV-2 testing, will be available nationally through the Apollo Hospitals network.​ | The Direct Amplification rapid RT-PCR (DArRT-PCR) test allows for rapid, safer and more cost-effective testing | Companies vying to roll out those vaccines, along with public health experts, have raised concerns about Indias capacity to swiftly inoculate its population of about 1.3 billion people | Managing Director Suneeta Reddy said that they want to know if the government will handle the entire thing alone or would involve the private sector",neutral,0.6571839,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9447994828224182)], [('Apollo Hospitals', 'companies', 'neutral', 0.9012109041213989)], [('Apollo Hospitals', 'companies', 'positive', 0.6717775464057922)], [], [], []]"
2020-12-11,The test has been developed by CSIR-CCMB and the collaboration with Apollo Hospitals will focus on scaling up manufacturing and commercialisation of the tests jointly.,neutral,0.49775565,"[[('Apollo Hospitals', 'companies', 'positive', 0.7704559564590454)]]"
2020-12-12,"While the test has been developed by CSIR-CCMB, Apollo will focus on scaling up manufacturing and commercialisation of the tests. It will be available nationally through the Apollo Hospitals network",neutral,0.8463078,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9059309363365173)]]"
2020-12-14,"Currently, Uday Shankar is President, The Walt Disney Company APAC & Chairman, Star & Disney India. He has taken over from Sangita Reddy, Joint Managing Director, Apollo Hospitals Group.",neutral,0.94612145,"[[('Apollo Hospitals', 'companies', 'neutral', 0.8927196264266968)]]"
2020-12-18,"Apollo Hospitals Enterprise Ltd., incorporated in the year 1979, is a Large Cap company (having a market cap of Rs 33668.29 Crore) operating in Hospitals & Allied Services sector.",neutral,0.91736835,"[[('Apollo Hospitals', 'companies', 'neutral', 0.949817955493927)]]"
2020-12-19,"Apollo Hospitals, Fortis Healthcare and Max Healthcare are among those who are introducing various flexible working options for doctors including work-from-home (WFH) options for certain specialities in a bid to attract and retain doctors and patients, and decongest hospitals. | The pharmacy business is one the main segments that helped Apollo cushion from any big shocks due to the pandemic",positive,0.72259134,"[[], [('Apollo Hospitals', 'companies', 'neutral', 0.9411951899528503)]]"
2020-12-25,"After superstar Rajinikanth was on Friday morning admitted to Apollo Hospitals in Hyderabad over severe blood pressure fluctuations, his ‘Ilamai Oonjal Aadukirathu’ co-star and politician Kamal Haasan wished him a speedy recovery. “Wishes for Rajinikanth’s speedy recovery,” Makkal Needhi Maiam (M… | Superstar Rajinikanth was on Friday admitted to Apollo Hospitals here for severe blood pressure fluctuations and he was “stable”, the hospital said. Stating that he is “stable and resting”, a release from the corporate hospital said the actor will stay here and undergo further investigatio… | Superstar Rajinikanth was on Friday admitted to Apollo Hospitals here as he was suffering from severe blood pressure fluctuations, the hospital said in a statement. He was shooting for a movie here for the past 10 days and had isolated himself and is being monitored closely after a few people on the… | Complains of BP fluctuations",neutral,0.5741366,"[[('Apollo Hospitals', 'companies', 'negative', 0.8842562437057495)], [('Apollo Hospitals', 'companies', 'negative', 0.8167354464530945)], [], [('Apollo Hospitals', 'companies', 'negative', 0.9000325202941895)]]"
2020-12-26,"Mumbai/ Hyderabad: Fans across the world skipped a heartbeat when superstar Rajinikanth was rushed to the hospital on Friday for treating blood pressure fluctuation. However, Apollo Hospitals on Saturday said that the actor’s condition is “stable” and a decision on discharging hi… | Superstar Rajinikanth, who was admitted to the Apollo Hospitals here for severe blood pressure fluctuations, is progressing well, the hospital said on Saturday.",positive,0.88285094,"[[('Apollo Hospitals', 'companies', 'negative', 0.5590575337409973)], [('Apollo Hospitals', 'companies', 'neutral', 0.5864819288253784)]]"
2020-12-27,"He is advised bed rest for a week | Actor-turned-politician Rajinikanth, who was admitted to the Apollo Hospitals in Hyderabad on Friday, was dishcharged from the Apollo Hospital on Sunday.“In view of his improved medical condition, Rajinikanth is being discharged from the hospital today. His blood pressure has been stabiliz… | Actor-turned-politician Rajinikanth, who was admitted to the Apollo Hospitals in Hyderabad on Friday, is stable and there is nothing alarming in his medical reports, Apollo Hospital said on Sunday. “Rajinikanth is stable now and there is nothing alarming in the medical reports that have co… | Rajinikanth was admitted to Apollo Hospitals here on Friday for severe blood pressure fluctuation. He is in the Telangana capital since December 13 to shoot for Tamil film, ‘Annaatthe,’ a Sun Pictures production",negative,0.44699067,"[[('Apollo Hospitals', 'companies', 'negative', 0.8167175650596619)], [('Apollo Hospitals', 'companies', 'negative', 0.5661172866821289)], [], [('Apollo Hospitals', 'companies', 'negative', 0.7382563948631287)]]"
2021-01-06,"Apollo Hospitals Enterprise Ltd., incorporated in the year 1979, is a Large Cap company (having a market cap of Rs 34976.06 Crore) operating in Hospitals & Allied Services sector.",neutral,0.9169482,"[[('Apollo Hospitals', 'companies', 'neutral', 0.949817955493927)]]"
2021-01-15,The recovery so far has been largely driven by local patients and APHS has gained market share in the local market.,positive,0.9554566,[[]]
2021-01-17,"Wellness is in Upasana Kamineni’s genes. So is enterprise. The granddaughter of C Prathap Reddy, founder of the Apollo Hospitals group, not only plays an active role in the family business but also ru | Apollo Hospitals Chairman Prathap C Reddy expressed happiness after taking the first shot of COVID-19 today. “I am happy that I took COVID-19 vaccine today. By the time I take 2nd shot, my immunity will increase. I hope everyone in India will also have the hope and confidence that ’my turn will come…",positive,0.74815136,"[[('Apollo Hospitals', 'companies', 'neutral', 0.8636023998260498)], [('Apollo Hospitals', 'companies', 'neutral', 0.5573976039886475)]]"
2021-01-18,"APEL may use the raised funds to acquire a 50 percent stake in a joint venture, pare down debt from its balance sheet and invest in building digital capabilities. | Sources said that the hospital chain is targeting large Domestic Mutual Funds, Sovereign Funds",neutral,0.8491858,"[[('stake', 'stock_market', 'neutral', 0.5338236689567566)], []]"
2021-01-19,"The final issue price, including any discount to the floor price, will be determined in the fund-raising committee meeting on January 22, 2021 | Here are the top stocks that are likely to be in focus in today’s trading. Apollo Hospitals, Maruti, IndiaMART Mindtree, IRB infra. | The promoter of Adani Green Energy, Adani Trading Services LLP, on Monday offloaded shares worth nearly Rs 3,309 crore in the firm | Apollo Hospitals’ QIP issue opens today. According to a media report, the company intends to raise as much as Rs 1,000 crore through the sale of 40.7 lakh shares | Cholamandalam Investment, Hindustan Media Ventures, Tamil Nadu Newsprint & Papers, Hazoor Multi Projects, Apollo Hospitals Enterprise, IndiaMART InterMESH, IRB Infrastructure Developers, are also among the stocks in focus today. | Here are the stocks to watch in trade today.",neutral,0.9432675,"[[('shares', 'stock_market', 'negative', 0.9282150268554688)], [('Apollo Hospitals', 'companies', 'neutral', 0.948036253452301), ('shares', 'stock_market', 'neutral', 0.8915153741836548)], [('stocks', 'stock_market', 'neutral', 0.9293784499168396), ('Apollo Hospitals', 'companies', 'neutral', 0.9311758279800415)], [('stocks', 'stock_market', 'neutral', 0.9236006736755371)], [], [('stocks', 'stock_market', 'neutral', 0.9007313251495361), ('Apollo Hospitals', 'companies', 'neutral', 0.9371437430381775)]]"
2021-01-22,"Apollo Hospitals, Gland Pharma, Crompton Greaves, L&T Finance, Oberoi Realty and Indian Bank are some of the companies which will announce their Q3 results today.",neutral,0.94782,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9451636672019958)]]"
2021-01-23,"The issue opened on Jan. 18, 2021 and closed on Jan. 22, 2021. | Healthcare major Apollo Hospitals on Saturday announced raising Rs 1,169.99 crore through allotment of shares to the qualified institutional buyers (QIBs). The Fund Raising Committee on Saturday "" | Pursuant to the allotment of Equity Shares in the Issue, the paid-up equity share capital of the Company stands
increased from Rs 695,625,795 consisting of 139,125,159 Equity Shares to Rs 718,923,285 consisting of
143,784,657 Equity Shares. | The issue opened on January 18, 2021 and closed on January 22, 2021, it added. | To issue 46.59 lakh equity shares at price of Rs 2511 per share",positive,0.88269794,"[[('equity', 'stock_market', 'neutral', 0.9494037628173828), ('shares', 'stock_market', 'neutral', 0.9400337934494019)], [], [('equity', 'stock_market', 'neutral', 0.9433494806289673), ('shares', 'stock_market', 'neutral', 0.9433494806289673)], [], [('shares', 'stock_market', 'positive', 0.5379374027252197), ('Apollo Hospitals', 'companies', 'positive', 0.5709390640258789)]]"
2021-01-24,"The pandemic has completely changed the dynamics of the Indian healthcare ecosystem, NATHEALTH President and Apollo Hospitals Executive Vice-Chairperson Preetha Reddy said | Apollo Hospitals on Saturday announced raising ₹1,169.99 crore through allotment of shares to qualified institutional buyers (QIBs).The Fund Raising Committee on Saturday “approved allotment of 46,59,",neutral,0.8663409,"[[('Apollo Hospitals', 'companies', 'neutral', 0.8873236775398254)], [('shares', 'stock_market', 'neutral', 0.5434334874153137), ('Apollo Hospitals', 'companies', 'positive', 0.6704761981964111)]]"
2021-01-25,"Apollo Hospitals said it will use the funds raised to acquire a 50 per cent stake in a joint venture, seek inorganic growth opportunities, as well as, look to pare down debt in its balance sheet",positive,0.7980232,"[[('stake', 'stock_market', 'positive', 0.6707817912101746), ('Apollo Hospitals', 'companies', 'neutral', 0.8260335922241211)]]"
2021-01-28,The Board of Apollo Hospitals Enterprise Ltd. (AHEL) on Thursday approved the Scheme of Amalgamation of its wholly owned subsidiaries — Apollo Home Healthcare (India) Ltd. and Western Hospitals Corpor | Kolkata: West Bengal Chief Minister Mamata Banerjee visits former Indian skipper and BCCI president Sourav Ganguly at Apollo hospitals.After undergoing angioplasty two more stents were implanted to clear his clogged coronary arteries.Confirming that the stents were …,neutral,0.48855293,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9480944871902466)], [('Apollo Hospitals', 'companies', 'neutral', 0.9189565181732178)]]"
2021-01-29,Credit Suisse has cut price target on Metropolis and raised for Apollo Hospitals.,negative,0.6903408,"[[('Apollo Hospitals', 'companies', 'neutral', 0.6165515780448914)]]"
2021-01-31,The president of the Board of Control for Cricket in India was admitted to Apollo Hospitals in Kolkata on January 27 after discomfort and chest pain.,negative,0.8147901,"[[('Apollo Hospitals', 'companies', 'negative', 0.5183464288711548)]]"
2021-02-02,"Sudarshan Sukhani of s2analytics.com suggests buying Apollo Hospitals with a stop loss of Rs 2,621, target at Rs 2,772 and Tata Motors with a stop loss of Rs 265, target at Rs 311. | Corporate hospital managements in Hyderabad have welcomed Union Budget 2021-22 for health sector, and gave suggestions, their needs. Chairman of Apollo Hospitals Group, Dr Prath ap C Reddy said that U",positive,0.6546923,"[[('Apollo Hospitals', 'companies', 'neutral', 0.8634220361709595), ('Tata', 'companies', 'neutral', 0.7671291828155518)], [('Apollo Hospitals', 'companies', 'neutral', 0.9257431626319885)]]"
2021-02-03,"Around 4.40 PM, a team from Apollo hospitals started their journey with the live heart, and the metro train crossed 16 stations in half an hour.",neutral,0.90291446,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9269358515739441)]]"
2021-02-12,"‘Focus now on non-COVID-19 patients’ | The company had logged a net profit of Rs 89.95 crore in the year-ago period, Apollo Hospitals Enterprise said in a regulatory filing Revenue from operations stood at Rs 2,759.84 crore in the quarter under review. | Sales decline 5.22% to Rs 2759.84 crore | At meeting held on 12 February 2021 | Standalone revenues of the healthcare services division declined by 4 per cent to Rs 1,240.7 crore in the latest December quarter | BRIEF-Apollo Hospitals Reports Higher Dec-Quarter Profit",negative,0.9748814,"[[('quarter', 'financial_performance', 'positive', 0.937515377998352), ('Apollo Hospitals', 'companies', 'positive', 0.937515377998352)], [], [('quarter', 'financial_performance', 'neutral', 0.773703932762146), ('net profit', 'economic_indicators', 'positive', 0.5596286058425903), ('Apollo Hospitals', 'companies', 'neutral', 0.8510364294052124)], [], [('quarter', 'financial_performance', 'positive', 0.9203349351882935)], []]"
2021-02-13,"Revenue from operations stood at Rs 2,759.84 crore in the quarter under review as compared to Rs 2,911.74 crore in the same period a year ago, says Apollo Hospitals | The company had logged a net profit of Rs 89.95 crore in the year-ago period, Apollo Hospitals Enterprise said in a regulatory filing. | Healthcare major posts ₹106-crore net profit in third quarter | Apollo Hospitals reported a small -5.22% fall in gross revenues for the Dec-20 quarter on consolidated basis at Rs2,759.84cr",negative,0.9720132,"[[('net profit', 'economic_indicators', 'positive', 0.5596286058425903), ('Apollo Hospitals', 'companies', 'neutral', 0.7897648811340332)], [('quarter', 'financial_performance', 'neutral', 0.8284109830856323), ('net profit', 'economic_indicators', 'positive', 0.6580239534378052)], [('quarter', 'financial_performance', 'negative', 0.7920305728912354), ('Apollo Hospitals', 'companies', 'neutral', 0.8918379545211792)], [('quarter', 'financial_performance', 'negative', 0.9695479273796082), ('Apollo Hospitals', 'companies', 'negative', 0.9707409143447876)]]"
2021-02-15,"Core hospital segment too is looking up on the back of rise in occupancies, footfalls | ICICI Direct is bullish on Apollo Hospitals has recommended buy rating on the stock with a target price of Rs 3170 in its research report dated February 14, 2021. | Structural cost reduction will conrinue and there is a strong traction for 24x7 digital initiative. Suneeta Reddy, MD, Apollo Hospitals Group in conversation with ET NOW. | The index was trading 1.55 per cent up at 20218.85. | Apollo Hospitals hopes to close FY21 with operating margin of 6.5-6.6% and touch the 7% mark in FY22. | Apollo Hospitals reported 49.14 percent rise in consolidated net profit at Rs 134.16 crore for the quarter ended December 31, 2020 mainly on account of reduction in expenses. | Apollo Hospitals’ Margins Recovery To Sustain Post Q3: ICICI Securities | The ramp up in new hospitals should add to revenues and margins going ahead for the hospitals segment | Apollo Hospitals Enterprise rose 1.87% to Rs 2,798.70 after the company’s consolidated net profit jumped 49.10% to Rs 134.16 crore on 5.2% decrease in net sales at Rs 2,759.84 crore in Q3 December 2020 over Q3 December 2019. | Mazagon Dock Shipbuilders, Indiabulls Housing Finance, Mcleod Russel, The Phoenix Mills, Info Edge India, MOIL, Sobha, Force Motors, Apollo Hospitals, Cochin Shipyard, Dilip Buildcon, are also among the stocks in focus today.",positive,0.9439736,"[[('margin', 'financial_performance', 'positive', 0.9422244429588318), ('Apollo Hospitals', 'companies', 'positive', 0.8789637088775635)], [], [('expenses', 'financial_performance', 'positive', 0.870510458946228), ('quarter', 'financial_performance', 'neutral', 0.9338802099227905), ('net profit', 'economic_indicators', 'positive', 0.9458699822425842), ('Apollo Hospitals', 'companies', 'positive', 0.9457535743713379)], [('index', 'stock_market', 'positive', 0.854889988899231)], [('net profit', 'economic_indicators', 'positive', 0.9465216994285583), ('Apollo Hospitals', 'companies', 'positive', 0.9508421421051025)], [('bullish', 'stock_market', 'positive', 0.5971928834915161), ('Apollo Hospitals', 'companies', 'positive', 0.5810936689376831)], [('Apollo Hospitals', 'companies', 'positive', 0.9431353807449341)], [('Apollo Hospitals', 'companies', 'neutral', 0.9214946627616882)], [('stocks', 'stock_market', 'neutral', 0.910140872001648), ('Apollo Hospitals', 'companies', 'neutral', 0.935531735420227)], []]"
2021-02-17,"The hospital 3D printing labs would provide medical 3D printing services for better healthcare, through the creation of anatomical models for pre-surgical planning and education, patient-specific cutting and drilling guides, and customised implants and implant moulds. | A multi-disciplinary team consisting of engineers and 3D designers will work with Apollo Hospitals medical and surgical team in the Hospital 3D-printing labs | About 8.6 million people in India have gotten their first dose of vaccine since the inoculation drive began a month ago | As healthcare evolves, 3D-printing will play an important part of this future transformation, Apollo Hospitals Group Chairman Prathap C Reddy said. | The hospital’s 3D-printing labs would provide medical 3D printing services for better healthcare, through the creation of anatomical models for pre-surgical planning and education | To provide medical 3D printing services for better healthcare, viz, pre-surgical planning and education, patient-specific cutting and drilling guides, and customised implants and implant moulds | The lab will provide anatomical models that are life-size replicas of a patient’s anatomy, accurately reconstructed from their CT/MRI scans into 3D models, which can be created in multiple materials",neutral,0.89900637,"[[], [], [], [], [('Apollo Hospitals', 'companies', 'neutral', 0.8938663005828857)], [('Apollo Hospitals', 'companies', 'neutral', 0.6039436459541321)], []]"
2021-02-19,"Outlook remains steady; rise in out-station patients’ volume to be a catalyst; TP up to Rs 3,050; ‘Buy’ retained",positive,0.94702625,[[]]
2021-02-20,"‘It’s time to procure local to live a healthier life’ | Torrent Pharma, Sun TV, IndusInd Bank and Apollo Hospitals are among the stocks in which brokerages have raised the target price.",positive,0.5210075,"[[], [('stocks', 'stock_market', 'neutral', 0.8468669056892395), ('Apollo Hospitals', 'companies', 'neutral', 0.9486987590789795)]]"
